"id","title","type","description","category","link","download_link"
1,"Frontend Beginner","role","Frontend developers focus on creating the visual and interactive elements of a website or application.","Web Development","https://roadmap.sh/frontend","https://roadmap.sh/pdfs/roadmaps/frontend.pdf       "
2,"Backend Beginner","role","Backend developers handle the server side of web applications, ensuring data storage, security, and performance.","Web Development","https://roadmap.sh/backend","https://roadmap.sh/pdfs/roadmaps/backend.pdf"
3,"Full Stack","role","Full stack developers have skills in both frontend and backend development.","Web Development","https://roadmap.sh/full-stack","https://roadmap.sh/pdfs/roadmaps/full-stack.pdf"
4,"API Design","role","API designers create interfaces allowing different software systems to communicate.","API","https://roadmap.sh/api-design","https://roadmap.sh/pdfs/roadmaps/api-design.pdf"
5,"QA","role","QA engineers ensure software quality through testing.","Quality Assurance","https://roadmap.sh/qa","https://roadmap.sh/pdfs/roadmaps/qa.pdf"
6,"Android","role","Android developers specialize in building applications for Android devices.","Mobile","https://roadmap.sh/android","https://roadmap.sh/pdfs/roadmaps/android.pdf"
7,"iOS","role","iOS developers create apps for Apple devices using Swift or Objective-C.","Mobile","https://roadmap.sh/ios","https://roadmap.sh/pdfs/roadmaps/ios.pdf"
8,"Software Architect","role","Software architects design high-level structures for software applications.","Architecture","https://roadmap.sh/software-architect","https://roadmap.sh/pdfs/roadmaps/software-architect.pdf"
9,"Technical Writer","role","Technical writers produce documentation that helps users and developers understand products.","Content","https://roadmap.sh/technical-writer","https://roadmap.sh/pdfs/roadmaps/technical-writer.pdf"
10,"Product Manager","role","Product managers oversee development and launch of products, working with cross-functional teams.","Product Management","https://roadmap.sh/product-manager","https://roadmap.sh/pdfs/roadmaps/product-manager.pdf"
11,"DevRel Engineer","role","DevRel engineers engage and support developer communities by creating content and open-source contributions.","Developer Relations","https://roadmap.sh/devrel","https://roadmap.sh/pdfs/roadmaps/devrel.pdf"
12,"AI and Data Scientist","role","AI and data scientists analyze data to build machine learning models.","Data Science","https://roadmap.sh/ai-data-scientist","https://roadmap.sh/pdfs/roadmaps/ai-data-scientist.pdf"
13,"AI Engineer","role","AI engineers design and deploy AI applications like neural networks, NLP, and computer vision.","Artificial Intelligence","https://roadmap.sh/ai-engineer","https://roadmap.sh/pdfs/roadmaps/ai-engineer.pdf"
14,"Data Analyst","role","Data analysts interpret data to provide actionable insights.","Data Science","https://roadmap.sh/data-analyst","https://roadmap.sh/pdfs/roadmaps/data-analyst.pdf"
15,"MLOps","role","MLOps engineers deploy and monitor machine learning models in production environments.","Machine Learning","https://roadmap.sh/mlops","https://roadmap.sh/pdfs/roadmaps/mlops.pdf"
16,"Server Side Game Dev.","role","Server-side game developers manage the backend for multiplayer functionality and server communication.","Game Development","https://roadmap.sh/server-side-game-developer","https://roadmap.sh/pdfs/roadmaps/server-side-game-developer.pdf"
17,"Client Side Game Dev.","role","Client-side game developers focus on graphics, UI, and interactivity.","Game Development","https://roadmap.sh/game-developer","https://roadmap.sh/pdfs/roadmaps/game-developer.pdf"
18,"UX Design","role","UX designers make products user-friendly through research, wireframing, and designing workflows.","Design","https://roadmap.sh/ux-design","https://roadmap.sh/pdfs/roadmaps/ux-design.pdf"
19,"Blockchain","role","Blockchain developers specialize in building decentralized applications and smart contracts.","Blockchain","https://roadmap.sh/blockchain","https://roadmap.sh/pdfs/roadmaps/blockchain.pdf"
20,"Cyber Security","role","Cybersecurity professionals work to protect systems and data from threats.","Cybersecurity","https://roadmap.sh/cyber-security","https://roadmap.sh/pdfs/roadmaps/cyber-security.pdf"
21,"GraphQL","skill","A query language for APIs","Backend","https://roadmap.sh/graphql","https://roadmap.sh/pdfs/roadmaps/graphql.pdf"
22,"Git and GitHub","skill","Version control system","DevOps","https://roadmap.sh/git-github","https://roadmap.sh/pdfs/roadmaps/git-github.pdf"
23,"React","skill","JavaScript library for building user interfaces","Frontend","https://roadmap.sh/react","https://roadmap.sh/pdfs/roadmaps/react.pdf"
24,"Vue","skill","JavaScript framework for building user interfaces","Frontend","https://roadmap.sh/vue","https://roadmap.sh/pdfs/roadmaps/vue.pdf"
